     LONGITUDE     ,      LATITUDE      ,      THROUGHPUT       
 78.47440338134766 ,  17.37529945373535 ,     6.247891359710348 
 78.47440338134766 ,  17.37529945373535 ,     6.213004815788506 
  88.4832992553711 , 22.983299255371094 ,    6.1771189916562665 
 78.47440338134766 ,  17.37529945373535 ,     6.170005900477243 
 88.36969757080078 , 22.569700241088867 ,    6.1419753086419755 
 77.58329772949219 ,  12.98330020904541 ,     6.136847614945383 
 78.47440338134766 ,  17.37529945373535 ,    6.1115241816108385 
 78.47440338134766 ,  17.37529945373535 ,    6.0893414483688355 
  72.1500015258789 , 21.766700744628906 ,     6.088795969853419 
  83.6530990600586 , 18.102100372314453 ,     6.053327877719401 
  74.8656005859375 , 31.633100509643555 ,     6.049643281807372 
              78.5 , 17.450000762939453 ,     6.045355699151676 
    73.86669921875 , 18.533300399780273 ,     6.037035640488319 
