
+-------------------+--------------------+-----------------------+-----------------+-----------------------------------------------------------------------------------+
|     LONGITUDE     |      LATITUDE      |      THROUGHPUT       |       IP        |                                       NAME                                        |
| 72.82579803466797 | 18.975000381469727 |    1.8485843280697598 | 58.146.124.250  |                                                                                   |
|  72.9666976928711 | 19.200000762939453 |    1.8447234939300061 | 59.184.0.104    | triband-mum-59.184.0.104.mtnl.net.in                                              |
| 72.82579803466797 | 18.975000381469727 |    1.8238896176297528 | 59.182.165.46   | triband-mum-59.182.165.46.mtnl.net.in                                             |
| 72.82579803466797 | 18.975000381469727 |    1.8229327020998616 | 59.182.243.36   | triband-mum-59.182.243.36.mtnl.net.in                                             |
| 80.91670227050781 | 26.850000381469727 |     1.810171674562109 | 117.197.50.255  |                                                                                   |
| 77.19999694824219 | 28.600000381469727 |    1.8082959519238377 | 59.177.133.95   | triband-del-59.177.133.95.bol.net.in                                              |
| 72.82579803466797 | 18.975000381469727 |    1.8057939378102994 | 120.60.128.234  | triband-mum-120.60.128.234.mtnl.net.in                                            |
| 72.82579803466797 | 18.975000381469727 |     1.800095873232701 | 120.60.134.143  | triband-mum-120.60.134.143.mtnl.net.in                                            |
|  76.2332992553711 |  9.966699600219727 |    1.8000727537135515 | 202.164.136.162 |                                                                                   |
| 76.95690155029297 |    8.5068998336792 |    1.7978650902933742 | 116.68.93.40    |                                                                                   |
|  77.2166976928711 |  28.66670036315918 |     1.796022833672628 | 59.177.130.115  | triband-del-59.177.130.115.bol.net.in                                             |
|  77.2166976928711 |  28.66670036315918 |    1.7938835606165555 | 59.178.129.110  | triband-del-59.178.129.110.bol.net.in                                             |
| 77.58329772949219 |  12.98330020904541 |    1.7695292384510644 | 59.92.182.13    |                                                                                   |
|  77.2166976928711 |  28.66670036315918 |    1.7677136553492008 | 59.177.131.225  | triband-del-59.177.131.225.bol.net.in                                             |
| 73.41670227050781 | 27.600000381469727 |    1.7573152229037188 | 59.92.141.11    |                                                                                   |
| 74.94999694824219 | 30.229999542236328 |    1.7563349920706273 | 202.164.60.4    |                                                                                   |
| 77.19999694824219 | 28.649999618530273 |    1.7560250244518483 | 59.177.13.128   | triband-del-59.177.13.128.bol.net.in                                              |
| 72.82579803466797 | 18.975000381469727 |    1.7471262342600595 | 59.184.33.68    | triband-mum-59.184.33.68.mtnl.net.in                                              |
| 72.82579803466797 | 18.975000381469727 |     1.743146743472524 | 58.146.110.226  |                                                                                   |
| 77.58329772949219 |  12.98330020904541 |    1.7423092724784444 | 122.166.121.66  |                                                                                   |
|  76.3499984741211 | 10.300000190734863 |    1.7419302472268676 | 59.96.4.208     |                                                                                   |
| 88.36969757080078 | 22.569700241088867 |    1.7369970357565385 | 124.125.48.128  |                                                                                   |
| 77.58329772949219 |  12.98330020904541 |    1.7194911756392983 | 122.181.1.178   | ABTS-KK-Static-ILP-178.1.181.122.airtel.in                                        |
| 72.81670379638672 | 19.100000381469727 |     1.713661555305997 | 59.181.108.65   | static-mum-59.181.108.65.mtnl.net.in                                              |
| 78.47440338134766 |  17.37529945373535 |    1.7132410369712618 | 122.169.219.79  | ABTS-AP-Dynamic-079.219.169.122.airtelbroadband.in                                |
| 77.19999694824219 | 28.600000381469727 |     1.704614994428028 | 59.178.215.4    | triband-del-59.178.215.4.bol.net.in                                               |
| 72.82579803466797 | 18.975000381469727 |      1.69814005865324 | 59.183.124.244  | triband-mum-59.183.124.244.mtnl.net.in                                            |
|  80.2833023071289 |  13.08329963684082 |    1.6967716258632988 | 122.174.133.203 | ABTS-TN-dynamic-203.133.174.122.airtelbroadband.in                                |
| 77.22630310058594 | 28.680500030517578 |    1.6879617380491136 | 59.177.165.12   | triband-del-59.177.165.12.bol.net.in                                              |
